Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
SCOTOPIC, PSAMMOMYS;F;;2020-11-24;01/01/2009 01:08:20;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;3;scotopic single flash 3
Length;512;Dist[s];7.82779E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 scotopic 1.0;L-2 scotopic 1.0;R-1 scotopic 3.0;L-2 scotopic 3.0;R-1 scotopic 10.0;L-2 scotopic 10.0;
140;1.088E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.208E-0005;1.893E-0005;
141;1.096E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.299E-0005;1.740E-0005;
142;1.104E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.232E-0005;1.410E-0005;
143;1.112E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.622E-0006;8.062E-0006;
144;1.119E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.631E-0006;2.630E-0006;
145;1.127E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.143E-0006;-4.328E-0006;
146;1.135E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.312E-0006;-1.141E-0005;
147;1.143E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.861E-0006;-1.318E-0005;
148;1.151E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.204E-0006;-1.086E-0005;
149;1.159E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.913E-0006;-4.817E-0006;
150;1.166E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.147E-0005;4.705E-0006;
151;1.174E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.617E-0005;1.435E-0005;
152;1.182E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.215E-0005;2.241E-0005;
153;1.190E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.045E-0005;2.845E-0005;
154;1.198E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.240E-0005;3.113E-0005;
155;1.205E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.496E-0005;3.193E-0005;
156;1.213E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.830E-0005;3.046E-0005;
157;1.221E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.867E-0005;2.790E-0005;
158;1.229E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.946E-0005;2.436E-0005;
159;1.237E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.891E-0005;2.277E-0005;
160;1.245E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.482E-0005;2.234E-0005;
161;1.252E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.000E-0005;2.253E-0005;
162;1.260E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.622E-0006;2.247E-0005;
163;1.268E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.828E-0006;2.405E-0005;
164;1.276E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.340E-0006;2.533E-0005;
165;1.284E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.410E-0006;2.448E-0005;
166;1.292E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.806E-0007;2.454E-0005;
167;1.299E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.778E-0006;2.320E-0005;
168;1.307E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.045E-0006;2.039E-0005;
169;1.315E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.449E-0006;1.587E-0005;
170;1.323E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.844E-0006;1.075E-0005;
171;1.331E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.008E-0005;1.958E-0006;
172;1.339E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.614E-0006;-3.718E-0006;
173;1.346E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.393E-0006;-7.502E-0006;
174;1.354E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-9.224E-0006;-9.577E-0006;
175;1.362E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.173E-0005;-1.080E-0005;
176;1.370E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.142E-0005;-9.333E-0006;
177;1.378E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-9.651E-0006;-6.648E-0006;
178;1.386E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.721E-0006;-3.718E-0006;
179;1.393E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-4.341E-0006;-2.390E-0007;
180;1.401E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.937E-0006;7.375E-0007;
181;1.409E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.609E-0006;1.470E-0006;
182;1.417E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.172E-0006;-2.925E-0006;
183;1.425E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.637E-0006;-6.098E-0006;
184;1.432E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-5.989E-0006;-7.807E-0006;
185;1.440E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.393E-0006;-9.089E-0006;
186;1.448E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.228E-0005;-1.177E-0005;
187;1.456E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.478E-0005;-1.104E-0005;
188;1.464E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.301E-0005;-9.089E-0006;
189;1.472E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.064E-0006;-7.746E-0006;
190;1.479E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.783E-0006;-7.929E-0006;
191;1.487E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.797E-0006;-9.089E-0006;
192;1.495E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.362E-0005;-1.330E-0005;
193;1.503E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.326E-0005;-1.898E-0005;
194;1.511E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.144E-0005;-2.685E-0005;
195;1.519E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.565E-0005;-3.399E-0005;
