Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
sample_photopic_recoring, Psammomys;F;;2020-11-24;01/01/2009 01:47:22;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;2;photopic single flash 2
Length;512;Dist[s];4.89237E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 photopic 1.0;L-2 photopic 1.0;R-1 photopic 3.0;L-2 photopic 3.0;R-1 photopic 10.0;L-2 photopic 10.0;
52;2.495E-0002;0.000E+0000;0.000E+0000;-3.366E-0006;-1.306E-0005;-1.672E-0005;-2.352E-0005;
53;2.544E-0002;0.000E+0000;0.000E+0000;1.944E-0006;-1.397E-0005;-5.981E-0006;-1.614E-0005;
54;2.593E-0002;0.000E+0000;0.000E+0000;8.292E-0006;-1.379E-0005;4.273E-0006;-9.301E-0006;
55;2.642E-0002;0.000E+0000;0.000E+0000;1.494E-0005;-1.275E-0005;1.306E-0005;-3.503E-0006;
56;2.691E-0002;0.000E+0000;0.000E+0000;2.099E-0005;-1.129E-0005;1.965E-0005;1.319E-0006;
57;2.740E-0002;0.000E+0000;0.000E+0000;2.630E-0005;-8.726E-0006;2.423E-0005;5.409E-0006;
58;2.789E-0002;0.000E+0000;0.000E+0000;2.996E-0005;-4.880E-0006;2.673E-0005;8.094E-0006;
59;2.838E-0002;0.000E+0000;0.000E+0000;3.167E-0005;-2.416E-0007;2.716E-0005;8.765E-0006;
60;2.886E-0002;0.000E+0000;0.000E+0000;3.112E-0005;5.007E-0006;2.533E-0005;7.362E-0006;
61;2.935E-0002;0.000E+0000;0.000E+0000;2.892E-0005;1.074E-0005;2.161E-0005;4.310E-0006;
62;2.984E-0002;0.000E+0000;0.000E+0000;2.624E-0005;1.459E-0005;1.666E-0005;2.205E-0007;
63;3.033E-0002;0.000E+0000;0.000E+0000;2.276E-0005;1.709E-0005;1.013E-0005;-5.151E-0006;
64;3.082E-0002;0.000E+0000;0.000E+0000;1.861E-0005;1.825E-0005;2.625E-0006;-1.064E-0005;
65;3.131E-0002;0.000E+0000;0.000E+0000;1.372E-0005;1.886E-0005;-4.821E-0006;-1.724E-0005;
66;3.180E-0002;0.000E+0000;0.000E+0000;8.597E-0006;1.795E-0005;-1.202E-0005;-2.480E-0005;
67;3.229E-0002;0.000E+0000;0.000E+0000;3.775E-0006;1.648E-0005;-1.697E-0005;-3.133E-0005;
68;3.278E-0002;0.000E+0000;0.000E+0000;-2.531E-0007;1.502E-0005;-1.782E-0005;-3.518E-0005;
69;3.327E-0002;0.000E+0000;0.000E+0000;-3.305E-0006;1.258E-0005;-1.269E-0005;-3.567E-0005;
70;3.376E-0002;0.000E+0000;0.000E+0000;-3.976E-0006;9.280E-0006;-8.538E-0007;-3.127E-0005;
71;3.425E-0002;0.000E+0000;0.000E+0000;-1.920E-0007;8.242E-0006;1.538E-0005;-2.218E-0005;
72;3.474E-0002;0.000E+0000;0.000E+0000;9.146E-0006;1.007E-0005;3.302E-0005;-1.186E-0005;
73;3.523E-0002;0.000E+0000;0.000E+0000;2.355E-0005;1.428E-0005;5.219E-0005;1.502E-0006;
